,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot,GO
131,short insular gyri,RFC2,8.4752,1.0466709294685574,8.2032,postcentral gyrus,0.9825430902713601,A0A087WVY3,"[u'GO:0003677', u'GO:0006260']"
181,parahippocampal gyrus,TRIM27,1.7873,1.4709462056366138,3.7071,central glial substance,0.7406254348342195,P14373,"[u'GO:0000122', u'GO:0002820', u'GO:0003676', u'GO:0003677', u'GO:0004714', u'GO:0004842', u'GO:0004842', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0016605)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)', u'GO:0005515', u'GO:0005515', u'GO:0005634', u'GO:0005654', u'GO:0005737', u'GO:0005768', u'GO:0005769', u'GO:0005887', u'GO:0006351', u'GO:0006469', u'GO:0007283', u'GO:0008270', u'GO:0008283', u'GO:0016020', u'GO:0016605', u'GO:0016874', u'GO:0018108', u'GO:0031965', u'GO:0032720', u'GO:0032897', u'GO:0034314', u'GO:0042147', u'GO:0045087', u'GO:0045814', u'GO:0046872', u'GO:0051091', u'GO:0070206', u'GO:0070534', u'GO:0072643', u'GO:0090281', u'GO:1900041', u'GO:1902187', u'GO:0030904']"
611,parahippocampal gyrus,STK11,8.5382,1.0703868761052637,8.2432,precentral gyrus,0.9978734301223914,A0A087WT72, 
681,parahippocampal gyrus,STK10,9.6066,1.4725792155760045,7.8567,lateral tuberal nucleus,0.8497440213117986,O94804,"[u'GO:0004674', u'GO:0004674', u'GO:0005515', u'GO:0005515', u'GO:0005524', u'GO:0005737', u'GO:0005886', u'GO:0006468', u'GO:0007049', u'GO:0023014', u'GO:0035556', u'GO:0042801', u'GO:0042802', u'GO:0042803', u'GO:0046777', u'GO:0046777', u'GO:0070062', u'GO:0071593', u'GO:2000401']"
1083,short insular gyri,AMPD1,8.5641,1.0801367652781317,7.7981,substantia nigra,0.8272850734300372,P23109,"[u'GO:0003876', u'GO:0005829', u'GO:0006144', u'GO:0010033', u'GO:0032036', u'GO:0032264', u'GO:0043101', u'GO:0044281', u'GO:0046872', u'GO:0055086']"
1523,parahippocampal gyrus,BIN1,8.5213,1.0640249793090681,7.8125,lateral tuberal nucleus,0.8328039957764086,O00499,"[u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0033648)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0033648)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005829)', u'GO:0005515', u'GO:0005634', u'GO:0005737', u'GO:0005737', u'GO:0006897', u'GO:0008021', u'GO:0008283', u'GO:0015629', u'GO:0016020', u'GO:0016032', u'GO:0030018', u'GO:0030315', u'GO:0030424', u'GO:0031674', u'GO:0032403', u'GO:0033268', u'GO:0042692', u'GO:0042802', u'GO:0043065', u'GO:0043065', u'GO:0043194', u'GO:0043196', u'GO:0043547', u'GO:0043679', u'GO:0044300', u'GO:0045664', u'GO:0045807', u'GO:0046982', u'GO:0048156', u'GO:0048711', u'GO:0051020', u'GO:0060987', u'GO:0060988', u'GO:0070063', u'GO:0070063', u'GO:0071156']"
2018,parahippocampal gyrus,AMY1A,8.4756,1.046821506907521,8.1614,substantia nigra,0.966522885127032,A0A087WZK1,"[u'GO:0004556', u'GO:0005975', u'GO:0043169']"
2318,parahippocampal gyrus,BZRAP1,8.4957,1.0543880232154221,8.0729,lateral tuberal nucleus,0.9326045082066245,O95153,"[u'GO:0005515', u'GO:0005737', u'GO:0005739', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0007268', u'GO:0007268', u'GO:0007269', u'GO:0008150', u'GO:0014047', u'GO:0030156']"
2338,parahippocampal gyrus,CACNA2D2,2.3748,1.2497855921593957,3.0517,VIIB,0.9918130532933723,Q9NY47,"[u'GO:0005245', u'GO:0005886', u'GO:0005891', u'GO:0006112', u'GO:0007528', u'GO:0034765', u'GO:0040014', u'GO:0044281', u'GO:0046622', u'GO:0046872', u'GO:0048747', u'GO:0050796', u'GO:0060024', u'GO:0070588']"
2658,parahippocampal gyrus,AIMP1,2.5861,1.1702430600270786,3.2263,substantia nigra,0.9248961198436193,Q12904,"[u'GO:0000049', u'GO:0001525', u'GO:0001937', u'GO:0005125', u'GO:0005515', u'GO:0005515', u'GO:0005615', u'GO:0005634', u'GO:0005737', u'GO:0005783', u'GO:0005794', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0006006', u'GO:0006418', u'GO:0006418', u'GO:0006915', u'GO:0006935', u'GO:0006954', u'GO:0007155', u'GO:0007165', u'GO:0007267', u'GO:0009611', u'GO:0009986', u'GO:0010467', u'GO:0016020', u'GO:0017101', u'GO:0030133', u'GO:0042803', u'GO:0050900', u'GO:0004825', u'GO:0006431']"
