,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot
131,short insular gyri,RFC2,8.4752,1.0466709294685574,8.2032,postcentral gyrus,0.9825430902713601,A0A087WVY3
181,parahippocampal gyrus,TRIM27,1.7873,1.4709462056366138,3.7071,central glial substance,0.7406254348342195,P14373
611,parahippocampal gyrus,STK11,8.5382,1.0703868761052637,8.2432,precentral gyrus,0.9978734301223914,A0A087WT72
681,parahippocampal gyrus,STK10,9.6066,1.4725792155760045,7.8567,lateral tuberal nucleus,0.8497440213117986,O94804
1083,short insular gyri,AMPD1,8.5641,1.0801367652781317,7.7981,substantia nigra,0.8272850734300372,P23109
1523,parahippocampal gyrus,BIN1,8.5213,1.0640249793090681,7.8125,lateral tuberal nucleus,0.8328039957764086,O00499
2018,parahippocampal gyrus,AMY1A,8.4756,1.046821506907521,8.1614,substantia nigra,0.966522885127032,A0A087WZK1
2318,parahippocampal gyrus,BZRAP1,8.4957,1.0543880232154221,8.0729,lateral tuberal nucleus,0.9326045082066245,O95153
2338,parahippocampal gyrus,CACNA2D2,2.3748,1.2497855921593957,3.0517,VIIB,0.9918130532933723,Q9NY47
2658,parahippocampal gyrus,AIMP1,2.5861,1.1702430600270786,3.2263,substantia nigra,0.9248961198436193,Q12904
3034,parahippocampal gyrus,LRRC47,2.3793,1.2480915959710595,3.4278,substantia nigra,0.8476695328440477,Q8N1G4
3524,parahippocampal gyrus,NUMBL,2.2495,1.296953974914622,3.153,substantia nigra,0.9529889676206347,Q9Y6R0
3544,parahippocampal gyrus,ZNF512B,1.5148,1.5735270859303023,3.2218,"lateral group of nuclei, dorsal division",0.9266207830768604,Q96KM6
4029,short insular gyri,DOHH,3.0047,1.0126637701520766,3.1544,precentral gyrus,0.9524524057258487,Q9BU89
4049,parahippocampal gyrus,IRX3,2.6581,1.1431391210137003,3.841,paraterminal gyrus,0.6893071221828911,P78415
4059,parahippocampal gyrus,IRX6,2.1438,1.3367440631606509,3.0785,"paracentral lobule, posterior part",0.9815417255931811,P78412
4249,parahippocampal gyrus,CLCA1,2.3359,1.264429248098568,3.3785,perifornical nucleus,0.8665641767104442,A8K7I4
4553,parahippocampal gyrus,CLC,2.9469,1.034422210082261,3.0773,postcentral gyrus,0.982001635788712,Q05315
4893,parahippocampal gyrus,PIR,8.3629,1.0043963134796359,8.1304,lateral tuberal nucleus,0.9546418717424823,O00625
5241,parahippocampal gyrus,FCN3,2.4967,1.2038971176353566,3.3396,precentral gyrus,0.8814729322155723,O75636
5473,parahippocampal gyrus,AP3B1,8.7892,1.1648742190546792,7.6941,CA1 field,0.787426189817355,O00203
5593,parahippocampal gyrus,PPFIA3,2.6079,1.1620365896035836,3.0432,gigantocellular group,0.9950707505117165,O75145
5603,parahippocampal gyrus,WIPF1,1.514,1.5738282408082287,3.3821,X,0.8651844461238513,A0A087WW70
6187,parahippocampal gyrus,EPB41L1,8.6003,1.0937640235043027,5.9,substantia nigra,0.09982212164896047,Q9H4G0
6223,parahippocampal gyrus,EPB41,2.7305,1.1158846045613589,3.0836,short insular gyri,0.9795871072621745,P11171
6233,parahippocampal gyrus,MUT,1.7334,1.4912365155369067,3.307,caudal group of intralaminar nuclei,0.8939671591941631,P22033
6243,parahippocampal gyrus,THUMPD1,1.4208,1.6089127840866575,3.4193,central glial substance,0.8509272300623919,Q9NXG2
6628,parahippocampal gyrus,SEPT2,9.5184,1.4393768902846158,5.7928,substantia nigra,0.058736810848195535,Q15019
6876,parahippocampal gyrus,SLC6A7,2.6533,1.144946050281259,4.4459,substantia nigra,0.4574740577856659,Q99884
7002,parahippocampal gyrus,SLC6A6,2.3553,1.2571262423088523,3.0341,gigantocellular group,0.9985584028278262,A0A087WY96
