Gene,Expression in ROI,Expression in Brain
AIMP1,2.5861,3.2263
NOD1,8.9255,8.1652
ITGAL,9.1281,8.2432
CAMK4,9.3108,7.3735
ACKR1,8.3977,7.5842
AIF1,2.2898,3.294
TNFRSF4,9.2611,8.1464
IL17A,2.2099,3.5527
XCR1,2.8248,3.8057
CCL7,8.3762,8.2237
SMAD1,2.3213,3.039
RELB,2.9077,3.1529
CXCL3,2.2537,3.1196
C4B,2.3455,3.1749
CHST1,1.5703,4.0668
IRAK2,2.4184,3.0948
NFX1,10.3888,8.0597
ORM1,8.4227,8.0284
S100A12,1.5779,3.5137
AGTR2,2.5239,3.064
CARD18,9.1625,8.138
CXCR3,3.0227,3.2798
APOC3,9.9254,8.2242
PDPN,2.962,3.1096
KNG1,1.9972,3.0997
SPP1,1.7689,3.8974
CCR3,2.9913,3.0684
CXCL8,2.5164,3.0606
OLR1,2.3476,3.0853
CCRL2,9.0549,8.0723
SDC1,8.391,7.7462
IL1A,2.1946,3.2336
IKBKB,2.2634,3.2468
IL9,2.7784,3.2421
BMP2,2.9098,3.322
SCG2,2.8699,3.5223
RAC1,8.5458,8.1072
VNN1,8.4649,8.014
CSF1,1.9773,3.5439
IL6,2.9676,3.2117
TLR2,2.9914,3.4389
CALCA,8.3898,7.8588
BDKRB2,1.8959,5.5243
PTAFR,8.6953,7.2468
PTGS1,1.7498,6.3175
ALOX15,2.8081,3.9103
IL10,8.8536,8.2295
TLR1,2.2094,7.0341
PLAA,8.709,7.0368
KDM6B,8.5122,7.6102
TNFAIP6,2.9388,3.4603
NFKB1,3.0376,3.1758
IL17C,8.3864,8.2388
